Age,Sex,Level,Field,Degree,Employability,Income,Daily_used,Accounts,Hrs,Time,Followers,Posted,Posted_later,Believed,UseRes,RealName
23 to 27,Male,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Twitter, WhatsApp, Youtube","Instagram, Twitter, WhatsApp, Youtube",2-3 hours,Night,6,Yes,Yes,Yes,Discovering/Developing Talents,Yes
23 to 27,Male,Specialisation (two years),IT related field,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, Snapchat",4 hours & more,Afternoon,4000,Yes,Yes,Yes,Communication,Yes
18 to 22,Female,Specialisation (Four years),Business related,Diploma,I do not work I am a student,400-500 OMR,Instagram,Instagram,1 hour,Night,900,Yes,Yes,Yes,Entertainment,Yes
23 to 27,Female,Specialisation (three years),IT related field,Diploma,I do not work I am a student,800 or more,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",2-3 hours,"Morning, Afternoon",6,No,Maybe,Yes,Communication,No
31 to 40,Female,Specialisation (Four years),Business related,Diploma,Employed in Public Sector,600-700 OMR,"Instagram, Snapchat, WhatsApp","Instagram, Snapchat, Twitter, WhatsApp, Youtube",1 hour,Night,100,No,Maybe,Yes,Communication,Yes
18 to 22,Male,Specialisation (one year),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, Twitter, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",2-3 hours,Night,150,No,Maybe,Yes,Communication,Yes
41 to 50,Male,Specialisation (more than Four years),IT related field,Diploma,Employed in Public Sector,600-700 OMR,"Facebook, WhatsApp, Youtube","Facebook, WhatsApp, Youtube",1 hour,"Evening, Night",2000,No,Maybe,Yes,Communication,Yes
41 to 50,Female,Specialisation (more than Four years),IT related field,Bachelor,Employed in Public Sector,600-700 OMR,"Facebook, WhatsApp, Youtube","Instagram, Facebook, Twitter, WhatsApp",1 hour,"Evening, Night",100,No,Maybe,Yes,Discovering/Developing Talents,Yes
18 to 22,Female,Specialisation (three years),IT related field,Diploma,I do not work I am a student,600-700 OMR,Instagram,"Instagram, WhatsApp, Youtube",2-3 hours,Evening,33,No,Maybe,Yes,Entertainment,Yes
23 to 27,Male,Specialisation (Four years),IT related field,Bachelor,Private business,400-500 OMR,"Instagram, WhatsApp, Youtube","Instagram, TikTok, Snapchat, WhatsApp",2-3 hours,"Evening, Night",14000,No,Maybe,Yes,Discovering/Developing Talents,Yes
18 to 22,Female,Specialisation (two years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",2-3 hours,"Evening, Night",2000,No,Maybe,Yes,Discovering/Developing Talents,Yes
18 to 22,Female,Specialisation (three years),Business related,Diploma,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,Night,200,No,Maybe,Yes,Communication,Yes
18 to 22,Female,Specialisation (two years),Business related,Bachelor,I do not work I am a student,400-500 OMR,Instagram,Snapchat,1 hour,Evening,6000,No,Maybe,Yes,Communication,Yes
18 to 22,Male,Specialisation (three years),Engineering ,Diploma,I do not work I am a student,400-500 OMR,WhatsApp,Instagram,2-3 hours,Evening,2,Yes,Maybe,Yes,Communication,No
18 to 22,Male,Specialisation (two years),Engineering ,Diploma,I do not work I am a student,400-500 OMR,"Twitter, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Twitter, WhatsApp",2-3 hours,"Evening, Night",400,Yes,Maybe,Yes,Communication,Yes
18 to 22,Female,Specialisation (two years),Business related,Bachelor,I do not work I am a student,600-700 OMR,Instagram,"Instagram, Snapchat, WhatsApp",2-3 hours,"Morning, Afternoon",20,Yes,Maybe,Yes,Entertainment,No
28 to 30,Female,General Foundation,Arts and Humanities,Bachelor,Employed in Public Sector,600-700 OMR,"Instagram, WhatsApp","Instagram, Twitter, WhatsApp, Youtube",1 hour,"Evening, Night",308,Yes,No,Yes,Entertainment,No
28 to 30,Male,Specialisation (more than Four years),Engineering ,Bachelor,Employed in Public Sector,600-700 OMR,"Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",2-3 hours,Night,80000,Yes,No,Yes,Cultural,No
23 to 27,Female,Specialisation (two years),Business related,Diploma,I do not work I am a student,800 or more,WhatsApp,Instagram,1 hour,Evening,400,Yes,No,Yes,Cultural,No
18 to 22,Female,Specialisation (Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",2-3 hours,"Evening, Night",350,No,No,Yes,Entertainment,No
23 to 27,Female,Specialisation (Four years),IT related field,Bachelor,I do not work I am a student,200-300 OMR,"Instagram, TikTok, Snapchat, WhatsApp, Youtube","Instagram, TikTok, Snapchat, WhatsApp, Youtube",4 hours & more,"Evening, Night",9,No,No,Yes,Communication,Yes
23 to 27,Female,Specialisation (Four years),IT related field,Diploma,I do not work I am a student,600-700 OMR,"Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,Night,2000,No,No,Yes,Communication,Yes
23 to 27,Female,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp, Youtube",1 hour,Night,1435,No,No,Yes,Communication,No
18 to 22,Female,Specialisation (one year),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp, Youtube",4 hours & more,Evening,54,No,No,Yes,Discovering/Developing Talents,Yes
18 to 22,Male,Specialisation (one year),IT related field,Diploma,I do not work I am a student,800 or more,"Snapchat, WhatsApp","Snapchat, WhatsApp",2-3 hours,"Evening, Night",1950,No,No,Yes,Discovering/Developing Talents,Yes
31 to 40,Male,Specialisation (more than Four years),Engineering,Bachelor,Employed in Public Sector,600-700 OMR,"Instagram, Snapchat, Facebook, WhatsApp, Youtube","Instagram, Snapchat, Facebook, Twitter, WhatsApp, Youtube",1 hour,"Evening, Night",200,No,No,Yes,Communication,Yes
31 to 40,Male,Specialisation (more than Four years),IT related field,Bachelor,Employed in Public Sector,800 or more,"Instagram, WhatsApp","Instagram, WhatsApp",2-3 hours,Night,500,No,No,Yes,Entertainment,Yes
41 to 50,Male,General Foundation,Arts and Humanities,Bachelor,Employed in Public Sector,600-700 OMR,"WhatsApp, Youtube",Twitter,1 hour,Night,5,No,No,Yes,Discovering/Developing Talents,Yes
31 to 40,Female,Specialisation (Four years),Business related,Bachelor,Employed in Public Sector,600-700 OMR,"Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp",4 hours & more,"Morning, Afternoon, Evening, Night",90,No,No,Yes,Entertainment,No
18 to 22,Male,General Foundation,IT related field,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, Twitter, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",1 hour,"Afternoon, Night",2000,No,No,Yes,Trade,Yes
41 to 50,Female,Specialisation (more than Four years),IT related field,Bachelor,Employed in Public Sector,600-700 OMR,"Facebook, WhatsApp, Youtube","Facebook, WhatsApp",30 min,Evening,0,No,No,Yes,Communication,Yes
18 to 22,Male,General Foundation,IT related field,Bachelor,I do not work I am a student,400-500 OMR,Instagram,Instagram,2-3 hours,"Afternoon, Night",200,No,No,Yes,Communication,Yes
41 to 50,Male,Specialisation (more than Four years),Business related,Bachelor,Employed in Public Sector,600-700 OMR,WhatsApp,WhatsApp,2-3 hours,Night,200,No,No,Yes,Trade,Yes
23 to 27,Female,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Morning, Afternoon, Evening, Night",100,No,No,Yes,Communication,Yes
31 to 40,Female,Specialisation (more than Four years),IT related field,Bachelor,Employed in Public Sector,600-700 OMR,"Instagram, TikTok, Snapchat, WhatsApp, Youtube","Instagram, TikTok, Snapchat, WhatsApp, Youtube",2-3 hours,Evening,5,No,No,Yes,Entertainment,No
below 18,Female,General Foundation,IT related field,Diploma,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,Afternoon,50,No,No,Yes,Entertainment,No
18 to 22,Male,Specialisation (one year),Art and Architecture related,Diploma,Employed in private Sector,800 or more,Facebook,WhatsApp,1 hour,Afternoon,1,No,No,Yes,Communication,Yes
41 to 50,Male,Specialisation (more than Four years),Business related,Bachelor,Employed in Public Sector,600-700 OMR,"Facebook, WhatsApp","Facebook, WhatsApp",30 min,Night,200,No,No,Yes,Entertainment,Yes
18 to 22,Male,Specialisation (Four years),Business related,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",4 hours & more,"Afternoon, Evening, Night",50,No,No,Yes,Trade,Yes
28 to 30,Female,Specialisation (more than Four years),Engineering ,Bachelor,Employed in Public Sector,600-700 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp",2-3 hours,"Morning, Afternoon, Night",100,No,No,Yes,Communication,No
23 to 27,Female,Specialisation (Four years),IT related field,Bachelor,Private business,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Morning, Afternoon",500,No,No,Yes,Discovering/Developing Talents,Yes
31 to 40,Female,Specialisation (more than Four years),Business related,Bachelor,Employed in Public Sector,600-700 OMR,"Instagram, Snapchat, Youtube","Instagram, Snapchat, WhatsApp",2-3 hours,Night,600,No,No,Yes,Discovering/Developing Talents,No
28 to 30,Female,Specialisation (three years),Business related,Bachelor,I do not work I am a student,800 or more,"Instagram, TikTok, Iinkin ",TikTok,4 hours & more,Night,300,No,No,Yes,Communication,No
18 to 22,Male,Specialisation (one year),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Facebook, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",1 hour,Evening,5000,No,No,Yes,Discovering/Developing Talents,No
31 to 40,Female,Specialisation (Four years),IT related field,Bachelor,Employed in Public Sector,600-700 OMR,"Instagram, WhatsApp","Instagram, Snapchat, Twitter, WhatsApp, Youtube",2-3 hours,Evening,14.8,No,No,Yes,Communication,Yes
below 18,Female,General Foundation,Engineering ,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, Twitter, WhatsApp, Youtube","Instagram, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,Night,2000,No,No,Yes,Communication,Yes
23 to 27,Female,Specialisation (Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, Twitter, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Evening, Night",600,No,No,Yes,Communication,Yes
23 to 27,Female,Specialisation (Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, Twitter, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Evening, Night",600,No,No,Yes,Communication,Yes
41 to 50,Female,Specialisation (more than Four years),Arts and Humanities,Bachelor,Employed in Public Sector,600-700 OMR,"TikTok, WhatsApp, Youtube","TikTok, WhatsApp, Youtube",4 hours & more,Evening,50,No,No,Yes,Entertainment,Yes
below 18,Female,General Foundation,IT related field,Bachelor,I do not work I am a student,600-700 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp, Youtube",4 hours & more,Evening,100,No,No,Yes,Entertainment,Yes
18 to 22,Male,Specialisation (three years),IT related field,Diploma,I do not work I am a student,200-300 OMR,"Instagram, Snapchat, Twitter, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",2-3 hours,"Afternoon, Night",5000,No,No,Yes,Discovering/Developing Talents,Yes
18 to 22,Female,Specialisation (Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube","Instagram, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,Evening,600,No,No,Yes,Discovering/Developing Talents,Yes
below 18,Male,General Foundation,IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Morning, Afternoon, Evening, Night",300,No,No,Yes,Communication,Yes
18 to 22,Male,Specialisation (Four years),Engineering ,Bachelor,I do not work I am a student,600-700 OMR,"Instagram, TikTok, WhatsApp, Youtube","Instagram, TikTok, WhatsApp, Youtube",2-3 hours,"Afternoon, Evening",1,No,No,Yes,Communication,No
18 to 22,Male,Specialisation (one year),IT related field,Diploma,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, Facebook, WhatsApp, ","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",2-3 hours,Evening,10000,No,No,Yes,Cultural,Yes
18 to 22,Female,Specialisation (three years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, WhatsApp, Youtube","Instagram, Snapchat, Youtube",4 hours & more,Afternoon,67,No,No,Yes,Entertainment,Yes
18 to 22,Female,Specialisation (two years),Business related,Diploma,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat","Instagram, TikTok, Snapchat, WhatsApp, Youtube",4 hours & more,"Afternoon, Night",2000,No,No,Yes,Entertainment,Yes
18 to 22,Female,Specialisation (two years),Business related,Diploma,Employed in Public Sector,800 or more,"Instagram, WhatsApp","Instagram, Snapchat, Twitter, WhatsApp",2-3 hours,Evening,472,No,No,Yes,Entertainment,No
18 to 22,Male,Specialisation (one year),Engineering ,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, Snapchat, Twitter, WhatsApp, Youtube",2-3 hours,Evening,2000,No,No,Yes,Cultural,No
18 to 22,Male,Specialisation (three years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube, Twitch",2-3 hours,"Morning, Afternoon, Evening, Night",50,No,No,Yes,Communication,Yes
18 to 22,Female,Specialisation (one year),Business related,Diploma,I do not work I am a student,400-500 OMR,WhatsApp,"Instagram, Snapchat, WhatsApp",1 hour,Afternoon,36,No,No,Yes,Communication,Yes
18 to 22,Male,Specialisation (one year),Business related,Diploma,Private business,400-500 OMR,WhatsApp,Instagram,30 min,Night,390,No,No,Yes,Communication,No
23 to 27,Male,Specialisation (two years),Business related,Bachelor,I do not work I am a student,600-700 OMR,I Massage ,"Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",1 hour,"Afternoon, Evening",155,No,No,Yes,Communication,Yes
18 to 22,Female,Specialisation (two years),Business related,Diploma,I do not work I am a student,400-500 OMR,"TikTok, Snapchat, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",2-3 hours,"Morning, Night",400,No,No,Yes,Communication,Yes
18 to 22,Male,Specialisation (one year),Engineering ,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Twitter","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp",30 min,"Evening, Night",11000,No,No,Yes,Entertainment,Yes
18 to 22,Female,Specialisation (three years),Business related,Bachelor,I do not work I am a student,800 or more,TikTok,"Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",30 min,Evening,500,No,No,Yes,Entertainment,No
18 to 22,Male,Specialisation (one year),IT related field,Diploma,I do not work I am a student,600-700 OMR,WhatsApp,"Instagram, Snapchat, Facebook, Twitter, WhatsApp",1 hour,Evening,6,No,No,Yes,Entertainment,No
18 to 22,Female,Specialisation (one year),Business related,Diploma,I do not work I am a student,400-500 OMR,"TikTok, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, WhatsApp",2-3 hours,Evening,50,No,No,Yes,Communication,Yes
18 to 22,Male,Specialisation (Four years),Business related,Diploma,I do not work I am a student,400-500 OMR,Instagram,Snapchat,4 hours & more,"Morning, Night",4000,No,No,Yes,Communication,Yes
23 to 27,Female,Specialisation (two years),Business related,Bachelor,I do not work I am a student,600-700 OMR,"Instagram, Snapchat, WhatsApp","Instagram, Snapchat, WhatsApp",2-3 hours,Evening,10,No,No,Yes,Communication,No
18 to 22,Male,Specialisation (one year),Art and Architecture related,Bachelor,I do not work I am a student,400-500 OMR,Instagram,Instagram,1 hour,Night,1000,No,No,Yes,Communication,Yes
41 to 50,Male,Specialisation (more than Four years),IT related field,Bachelor,Employed in private Sector,600-700 OMR,"Facebook, Twitter, WhatsApp, Youtube","Facebook, Twitter, WhatsApp, Youtube",30 min,Night,10,Yes,No,Yes,Discovering/Developing Talents,Yes
18 to 22,Male,Specialisation (one year),Business related,Diploma,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,Night,500,Yes,No,Yes,Entertainment,Yes
41 to 50,Male,Specialisation (more than Four years),Arts and Humanities,Bachelor,Employed in Public Sector,600-700 OMR,"Facebook, WhatsApp","Facebook, WhatsApp",1 hour,Evening,50,Yes,No,Yes,Communication,Yes
23 to 27,Female,Specialisation (Four years),IT related field,Bachelor,Employed in Public Sector,400-500 OMR,Instagram,Instagram,30 min,Morning,55,Yes,No,Yes,Entertainment,Yes
23 to 27,Male,Specialisation (two years),Business related,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, Facebook, Twitter, WhatsApp, Youtube","Instagram, Snapchat, Facebook, Twitter, WhatsApp, Youtube",1 hour,Night,3000,Yes,Yes,Yes,Communication,No
23 to 27,Male,Specialisation (two years),Business related,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",2-3 hours,"Evening, Night",9525,Yes,Yes,Yes,Entertainment,Yes
18 to 22,Female,Specialisation (three years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, WhatsApp",4 hours & more,"Morning, Afternoon, Evening, Night",300,Yes,Yes,Yes,Entertainment,No
23 to 27,Female,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Facebook, WhatsApp, Youtube",2-3 hours,"Evening, Night",500,Yes,Yes,Yes,Entertainment,Yes
18 to 22,Female,Specialisation (one year),IT related field,Diploma,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, Twitter, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",4 hours & more,"Morning, Afternoon, Evening, Night",50,Yes,Yes,Yes,Discovering/Developing Talents,Yes
18 to 22,Male,Specialisation (one year),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Youtube","Instagram, TikTok",1 hour,Evening,14,Yes,Yes,Yes,Communication,Yes
18 to 22,Female,Specialisation (three years),Business related,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Evening, Night",2000,Yes,Yes,Yes,Communication,Yes
23 to 27,Male,Specialisation (Four years),Business related,Bachelor,I do not work I am a student,600-700 OMR,"Instagram, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",4 hours & more,"Afternoon, Night",300,Yes,Yes,Yes,Entertainment,Yes
23 to 27,Female,Specialisation (more than Four years),Business related,Diploma,I do not work I am a student,400-500 OMR,"Snapchat, WhatsApp, Youtube","Instagram, TikTok, Snapchat, WhatsApp, Youtube",30 min,"Evening, Night",144,Yes,Yes,Yes,Communication,Yes
23 to 27,Female,Specialisation (three years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp, Youtube",4 hours & more,Evening,100,Yes,Yes,Yes,Communication,Yes
18 to 22,Female,General Foundation,IT related field,Bachelor,Private business,400-500 OMR,"Instagram, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp",2-3 hours,"Evening, Night",1000,Yes,Yes,Yes,Discovering/Developing Talents,No
18 to 22,Female,Specialisation (one year),Business related,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, WhatsApp, Youtube","Instagram, Twitter, WhatsApp, Youtube",2-3 hours,Night,100,Yes,Yes,Yes,Discovering/Developing Talents,Yes
18 to 22,Female,General Foundation,Business related,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, Snapchat",2-3 hours,"Evening, Night",674,Yes,Yes,Yes,Communication,Yes
18 to 22,Female,Specialisation (two years),Business related,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp, Youtube",4 hours & more,"Evening, Night",82,Yes,Yes,Yes,Entertainment,No
18 to 22,Male,Specialisation (one year),Business related,Bachelor,Private business,400-500 OMR,Snapchat,"Instagram, TikTok, Snapchat, Twitter, WhatsApp",1 hour,Night,270,Maybe,Yes,Yes,Communication,Yes
18 to 22,Female,Specialisation (two years),Business related,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, WhatsApp",2-3 hours,"Afternoon, Night",6000,Maybe,Yes,Yes,Trade,Yes
18 to 22,Male,Specialisation (two years),Business related,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, WhatsApp, Youtube","Instagram, Twitter, WhatsApp",4 hours & more,Night,100,No,Yes,Yes,Entertainment,Yes
18 to 22,Male,General Foundation,IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat","Instagram, Snapchat, Twitter, WhatsApp, Youtube",2-3 hours,Evening,300,No,Yes,Yes,Entertainment,Yes
23 to 27,Female,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp",4 hours & more,"Evening, Night",600,No,Yes,Yes,Discovering/Developing Talents,No
23 to 27,Female,Specialisation (more than Four years),Business related,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube, Telegram ",4 hours & more,"Evening, Night",100,No,Yes,Yes,Cultural,Yes
23 to 27,Female,Specialisation (more than Four years),Business related,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, TikTok, Snapchat, WhatsApp, Youtube",2-3 hours,"Evening, Night",210,No,Yes,Yes,Entertainment,Yes
31 to 40,Female,Specialisation (more than Four years),Engineering ,Bachelor,Employed in Public Sector,600-700 OMR,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, WhatsApp",2-3 hours,Evening,200,No,Yes,Yes,Communication,No
18 to 22,Male,Specialisation (three years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"WhatsApp, Youtube","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube, Netflix",2-3 hours,Evening,1000,No,Yes,Yes,Entertainment,Yes
18 to 22,Female,Specialisation (two years),Business related,Bachelor,I do not work I am a student,400-500 OMR,Instagram,"Instagram, Snapchat, Twitter, WhatsApp",2-3 hours,Afternoon,50,No,Yes,Yes,Discovering/Developing Talents,No
18 to 22,Female,Specialisation (one year),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, WhatsApp, Youtube",4 hours & more,Night,800,No,Yes,Yes,Communication,Yes
23 to 27,Female,Specialisation (Four years),Business related,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Facebook, WhatsApp, Youtube",4 hours & more,"Afternoon, Night",400000,No,Yes,Yes,Trade,Yes
23 to 27,Female,Specialisation (more than Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,"Instagram, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,Afternoon,730,No,Yes,Yes,Discovering/Developing Talents,No
23 to 27,Female,Specialisation (three years),IT related field,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, Snapchat, WhatsApp",2-3 hours,"Afternoon, Evening, Night",200,No,Yes,Yes,Entertainment,No
18 to 22,Male,Specialisation (three years),Art and Architecture related,Diploma,I do not work I am a student,400-500 OMR,"Instagram, Facebook, Twitter, WhatsApp","Instagram, TikTok, Snapchat, Twitter, WhatsApp",2-3 hours,"Evening, Night",500,No,Yes,Yes,Entertainment,Yes
18 to 22,Male,Specialisation (two years),Business related,Bachelor,I do not work I am a student,600-700 OMR,"Instagram, WhatsApp, Business platforms","Instagram, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Morning, Night",240000,No,Yes,Yes,Entertainment,No
18 to 22,Female,Specialisation (three years),Business related,Diploma,I do not work I am a student,400-500 OMR,"Instagram, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Evening, Night",1204,No,Yes,Yes,Discovering/Developing Talents,Yes
18 to 22,Male,Specialisation (Four years),IT related field,Diploma,I do not work I am a student,400-500 OMR,"Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube","Instagram, TikTok, Snapchat, Twitter, WhatsApp, Youtube",4 hours & more,"Evening, Night",4000,No,Yes,Yes,Communication,Yes
18 to 22,Female,Specialisation (Four years),IT related field,Bachelor,I do not work I am a student,400-500 OMR,WhatsApp,"Instagram, Snapchat, Twitter, WhatsApp",4 hours & more,"Afternoon, Evening",44,No,Yes,Yes,Entertainment,No
23 to 27,Female,Specialisation (two years),Business related,Bachelor,Employed in private Sector,400-500 OMR,"Instagram, Snapchat, Twitter, WhatsApp, Youtube","Instagram, Snapchat, Twitter, WhatsApp, Youtube",2-3 hours,Evening,1156,No,Yes,Yes,Communication,Yes
18 to 22,Male,Specialisation (one year),Business related,Diploma,Private business,400-500 OMR,"Instagram, Snapchat, WhatsApp, Youtube","Instagram, WhatsApp",1 hour,"Morning, Afternoon",1000,No,Yes,Yes,Communication,Yes
18 to 22,Female,Specialisation (one year),Engineering ,Bachelor,I do not work I am a student,400-500 OMR,Instagram,"Snapchat, Twitter",2-3 hours,"Afternoon, Night",80,No,Yes,Yes,Communication,Yes
18 to 22,Male,Specialisation (two years),Business related,Bachelor,I do not work I am a student,600-700 OMR,"Instagram, TikTok, Snapchat, WhatsApp","Instagram, TikTok, Snapchat, Facebook, Twitter, WhatsApp, Youtube",4 hours & more,Night,250,No,Yes,Yes,Entertainment,Yes
